発表日,内容,部局
2025年1月31日,電波法施行規則の一部を改正する省令案等に関する意見募集,総合通信基盤局
2025年1月31日,電波法関係省令の一部を改正する省令案等に関する意見募集,総合通信基盤局
2025年1月31日,「事業者間連携の可能性に関するガイドライン」の改正案等に関する意見募集,総合通信基盤局
2025年1月31日,情報通信審議会答申（案）に関する意見募集の結果,流通行政局
2025年1月31日,各放送事業者が実施する放送番組の制作等の支援,商務情報政策局
2025年1月31日,「第29回放送番組審議会」の開催,商務情報政策局
2025年1月31日,「第8回 地方創生SDGs官民連携プラットフォーム」の開催,行政管理局
2025年1月31日,令和6年度情報通信基盤整備促進事業費補助金（第2次）の採択,統計局
2025年1月8日,緊急時放送制度の運用に関する省令等の改正案等に関する意見募集,商務情報政策局
2025年1月8日,「日本デジタル化推進2025」の公募を開始します！,通信政策局
2025年1月7日,電波利用に関する電子申請・届出システムの改修等について,総合通信基盤局
2025年1月6日,統計法施行規則の一部を改正する省令案等に関する意見募集,統計局
2025年1月6日,情報通信審議会の開催,官房
2025年1月1日,令和7年における地方公共団体の議会の議員及び長の選挙等に関する告示,行政管理局
2025年1月1日,令和7年1月1日現在の推計人口,官房
