発表日,内容,部局,リンクURL,対象期間,年,月
2025年9月9日,2025年日本国際博覧会 期間展示とステージ発表のお知らせ,情報流通行政局,https://www.soumu.go.jp/menu_news/s-news/01ryutsu06_02000460.html,2025年9月,2025,9
2025年9月8日,令和7年9月2日からの大雨による被害に係る普通交付税（11月定例交付分）の繰上げ交付,自治財政局,https://www.soumu.go.jp/menu_news/s-news/01zaisei02_02000378_00011.html,2025年9月,2025,9
2025年9月5日,家計調査報告（二人以上の世帯）2025年（令和7年）7月分,統計局,https://www.soumu.go.jp/menu_news/s-news/01toukei07_01000275.html,2025年9月,2025,9
2025年9月5日,第25回日韓内政関係者セミナーの開催,自治行政局,https://www.soumu.go.jp/menu_news/s-news/01gyosei05_02000240.html,2025年9月,2025,9
2025年9月5日,令和7年度「救急の日」及び「救急医療週間」,消防庁,https://www.soumu.go.jp/menu_news/s-news/01shoubo01_02001095.html,2025年9月,2025,9
2025年9月5日,携帯電話端末の販売価格に関する注意喚起,総合通信基盤局,https://www.soumu.go.jp/menu_news/s-news/01kiban08_03000446.html,2025年9月,2025,9
2025年9月5日,令和7年台風第12号による被害に係る普通交付税（11月定例交付分）の繰上げ交付,自治財政局,https://www.soumu.go.jp/menu_news/s-news/01zaisei02_02000378_00012.html,2025年9月,2025,9
2025年9月5日,令和7年度震災復興特別交付税の9月交付額の決定,自治財政局,https://www.soumu.go.jp/menu_news/s-news/01zaisei02_02000405.html,2025年9月,2025,9
2025年9月4日,「電気通信事業分野における競争状況等の調査及び評価の実施に関する方針（案）」 に対する情報通信行政・郵政行政審議会からの答申,総合通信基盤局,https://www.soumu.go.jp/menu_news/s-news/01kiban02_02000566.html,2025年9月,2025,9
2025年9月30日,電話に関するユニバーサルサービス制度に基づく交付金の額及び交付方法の認可並びに負担金の額及び徴収方法の認可に対する意見募集,総合通信基盤局,https://www.soumu.go.jp/menu_news/s-news/01kiban07_02000084.html,2025年9月,2025,9
2025年9月30日,令和6年度決算に基づく健全化判断比率等の概要（速報）,自治財政局,https://www.soumu.go.jp/menu_news/s-news/01zaisei07_02000425.html,2025年9月,2025,9
2025年9月30日,「宿泊税」の新設,自治税務局,https://www.soumu.go.jp/menu_news/s-news/01zeimu02_02000430.html,2025年9月,2025,9
2025年9月30日,電気通信事業会計規則の一部を改正する省令案に対する意見募集の実施,総合通信基盤局,https://www.soumu.go.jp/menu_news/s-news/01kiban02_02000568.html,2025年9月,2025,9
2025年9月30日,令和7年度9月期における地方譲与税譲与金の譲与,自治税務局,https://www.soumu.go.jp/menu_news/s-news/01zeimu02_02000429.html,2025年9月,2025,9
2025年9月30日,データサイエンス・オンライン講座 「社会人のためのデータサイエンス演習」のリニューアル開講,統計局,https://www.soumu.go.jp/menu_news/s-news/01toukei09_01000098.html,2025年9月,2025,9
2025年9月30日,令和7年9月30日付 総務省人事,大臣官房,https://www.soumu.go.jp/menu_news/s-news/01kanbo01_02001108.html,2025年9月,2025,9
2025年9月30日,総務省顧問の発令,大臣官房,https://www.soumu.go.jp/menu_news/s-news/01kanbo01_02001106.html,2025年9月,2025,9
